,title,description,url,urlToImage,publishedAt,author,sumber,hasil_sentimen,probability
0,Anies Gandeng Delapan Aplikator Atasi Masalah Jakarta,"""Kami harap dari penandatanganan ini ada begitu banyak masalah yang ada di kota ini bisa diselesaikan bersama,"" kata Anies.",https://news.detik.com/berita/d-4704750/anies-gandeng-delapan-aplikator-atasi-masalah-jakarta,https://awsimages.detik.net.id/api/wm/2019/09/13/85794ff5-9b25-4b6e-8952-1ccc558cab28_169.jpeg?wid=54&w=650&v=1&t=jpeg,13 September 2019,Arief Ikhsanudin,Detik.com,Netral,50.0
1,"Oppo A9 2020 Mulai Bisa Dipesan, Harganya?","Kendati belum diluncurkan, Oppo A9 2020 mulai ditawarkan lewat blind pre-order. Lantas harganya?",https://inet.detik.com/consumer/d-4699710/oppo-a9-2020-mulai-bisa-dipesan-harganya,https://awsimages.detik.net.id/api/wm/2019/09/10/692f8331-f1a7-4405-b19f-99233a81344e_169.jpeg?wid=54&w=650&v=1&t=jpeg,10 September 2019,Adi Fida Rahman,Detik.com,Netral,85.0
2,"Soal Bukalapak PHK Karyawan, Merger Saja dengan Blibli atau Lazada","Berita Soal Bukalapak PHK Karyawan, Merger Saja dengan Blibli atau Lazada terbaru hari ini 2019-09-10 16:38:15 dari sumber yang terpercaya",https://www.viva.co.id/digital/digilife/1178890-soal-bukalapak-phk-karyawan-merger-saja-dengan-blibli-atau-lazada,https://thumb.viva.co.id/media/frontend/thumbs3/2019/09/10/5d7767b78d1fd-bukalapak_665_374.jpg,10 September 2019,Amal Nur Ngazis,Viva.co.id,Negatif,67.0
3,"BJ Habibie Meninggal Dunia, Startup Unicorn Indonesia Berduka","Berita BJ Habibie Meninggal Dunia, Startup Unicorn Indonesia Berduka terbaru hari ini 2019-09-11 20:02:03 dari sumber yang terpercaya",https://www.viva.co.id/digital/digilife/1179093-bj-habibie-meninggal-dunia-startup-unicorn-indonesia-berduka,https://thumb.viva.co.id/media/frontend/thumbs3/2019/09/11/5d78ebb26f9a6-bj-habibie-meninggal-dunia_665_374.jpg,11 September 2019,"Amal Nur Ngazis, Novina Putri Bestari",Viva.co.id,Netral,57.0
4,"Ada PHK, Ini Jumlah Total Karyawan Bukalapak","Bukalapak melakukan PHK sejumlah karyawan di berbagai divisi. Secara total, berapa jumlah karyawan startup Indonesia yang sudah berstatus unicorn tersebut?",https://inet.detik.com/cyberlife/d-4700736/ada-phk-ini-jumlah-total-karyawan-bukalapak,https://awsimages.detik.net.id/api/wm/2019/09/10/fe1ed91b-275a-4fdf-a198-45029c1268c7_169.jpeg?wid=54&w=650&v=1&t=jpeg,10 September 2019,Fino Yurio Kristo,Detik.com,Negatif,75.0
5,"Mau Lancar Bisnis Digital, Harus Pintar Kolaborasi",Langkah utama yang harus dilakukan yakni mengubah cara berpikir yang lebih inovatif.,https://finance.detik.com/berita-ekonomi-bisnis/d-4703755/mau-lancar-bisnis-digital-harus-pintar-kolaborasi,https://awsimages.detik.net.id/api/wm/2019/09/12/29bfc89f-d5f6-44ca-86fe-d7be0d22445f_169.jpeg?wid=54&w=650&v=1&t=jpeg,12 September 2019,Vadhia Lidyana,Detik.com,Netral,69.0
6,"Bukalapak PHK Karyawan, Ini 6 Fakta di Baliknya",Bukalapak baru saja melakukan pemutusan hubungan karyawan (PHK) terhadap sejumlah karyawan. Berikut enam fakta dibalik PHK karyawan Bukalapak.,https://inet.detik.com/cyberlife/d-4701701/bukalapak-phk-karyawan-ini-6-fakta-di-baliknya,https://awsimages.detik.net.id/api/wm/2019/09/10/8549b65e-38da-4e60-895e-e50d22d81d5e_169.jpeg?wid=54&w=650&v=1&t=jpeg,11 September 2019,Virgina Maulita Putri,Detik.com,Negatif,49.0
7,"Bukalapak PHK Karyawan, Keresahan Sudah Muncul Sebulan Lalu","Berita Bukalapak PHK Karyawan, Keresahan Sudah Muncul Sebulan Lalu terbaru hari ini 2019-09-10 14:14:31 dari sumber yang terpercaya",https://www.viva.co.id/digital/digilife/1178854-bukalapak-phk-karyawan-keresahan-sudah-muncul-sebulan-lalu,https://thumb.viva.co.id/media/frontend/thumbs3/2018/05/28/5b0b9e384bea3-booth-bukalapak_665_374.jpg,10 September 2019,Amal Nur Ngazis,Viva.co.id,Netral,53.0
8,"Soal Bukalapak PHK Karyawan, Pakar: Terlalu Agresif Sih","Berita Soal Bukalapak PHK Karyawan, Pakar: Terlalu Agresif Sih terbaru hari ini 2019-09-10 15:59:56 dari sumber yang terpercaya",https://www.viva.co.id/digital/digilife/1178880-soal-bukalapak-phk-karyawan-pakar-terlalu-agresif-sih,https://thumb.viva.co.id/media/frontend/thumbs3/2017/09/13/59b91f612b4a6-bukalapak_665_374.jpg,10 September 2019,Amal Nur Ngazis,Viva.co.id,Negatif,83.0
9,Persaingan Startup Makin Ketat Bikin Unicorn Lakukan Efisiensi,Efisiensi yang dilakukan Bukalapak menjadi sorotan banyak pihak. Alasan Bukalapak melakukan efisiensi karena ingin menjadi startup yang bisa meraih keuntungan.,https://finance.detik.com/fintech/d-4705526/persaingan-startup-makin-ketat-bikin-unicorn-lakukan-efisiensi,https://awsimages.detik.net.id/api/wm/2016/01/21/0964e5b3-37f7-4238-bf98-ddd0aff9ea5e_169.jpg?wid=54&w=650&v=1&t=jpeg,13 September 2019,Sylke Febrina Laucereno,Detik.com,Netral,44.0
10,Bukalapak PHK Karyawan? Kirain Adem Ayem,Berita Bukalapak PHK Karyawan? Kirain Adem Ayem terbaru hari ini 2019-09-10 13:48:08 dari sumber yang terpercaya,https://www.viva.co.id/digital/digilife/1178851-bukalapak-phk-karyawan-kirain-adem-ayem,https://thumb.viva.co.id/media/frontend/thumbs3/2019/01/10/5c36f2cb47514-founder-dan-ceo-bukalapak-achmad-zaky_665_374.jpg,10 September 2019,Siti Sarifah Alia,Viva.co.id,Negatif,44.0
11,Rangkuman Berita Startup & Teknologi Indonesia dalam Sepekan – 7 September 2019,"Berita startup pekan ini hadir dari Tokopedia yang baru meresmikan Tokopedia Care Tower, serta layanan baru Modalku yang membantu pedangang pasar lokal. The post Rangkuman Berita Startup & Teknologi Indonesia dalam Sepekan – 7 September 2019 appeared first on…",https://id.techinasia.com/rangkuman-berita-startup-7-september-2019,,07 September 2019,Tech in Asia ID,Techinasia.com,Netral,60.0
12,Jokowi: Kita Butuh SDM yang Menguasai Teknologi Hybrid,Presiden Jokowi mengungkapkan bahwa Indonesia saat ini sangat membutuhkan sumber daya manusia (SDM) yang menguasai hybrid knowledge dan hybrid skill.,https://finance.detik.com/berita-ekonomi-bisnis/d-4701576/jokowi-kita-butuh-sdm-yang-menguasai-teknologi-hybrid,https://awsimages.detik.net.id/api/wm/2019/09/06/fea52e1c-4d0a-41ca-bf63-ce473f0f204c_169.jpeg?wid=54&w=650&v=1&t=jpeg,11 September 2019,Hendra Kusuma,Detik.com,Netral,56.0
13,"Unicorn Saja Bisa PHK, Ada Fenomena Apa?",Bukalapak punya status unicorn atau perusahaan yang punya nilai usaha US$ 1 miliar atau Rp 14 triliun. Dengan valuasi sebebsar itu kok bisa PHK karyawannya?,https://finance.detik.com/fintech/d-4700506/unicorn-saja-bisa-phk-ada-fenomena-apa,https://awsimages.detik.net.id/api/wm/2016/04/12/c172d62a-f986-4db2-90c0-ed3dd3362acf_169.jpg?wid=54&w=650&v=1&t=jpeg,10 September 2019,Fadhly Fauzi Rachman,Detik.com,Netral,56.0
14,"Dompet Digital dan Kemudahan Berutang, Apa Dampaknya?","Berita Dompet Digital dan Kemudahan Berutang, Apa Dampaknya? terbaru hari ini 2019-09-09 17:51:01 dari sumber yang terpercaya",https://www.viva.co.id/vstory/teknologi-vstory/1178712-dompet-digital-dan-kemudahan-berutang-apa-dampaknya,https://thumb.viva.co.id/media/frontend/thumbs3/2019/09/09/5d762e87b819e-dompet-digital-dan-kemudahan-berutang-apa-dampaknya_665_374.jpg,09 September 2019,tazaemjayy,Viva.co.id,Positif,47.0
15,5 Destinasi di Indonesia untuk Para Petualang,"Indonesia memiliki sejumlah tempat wisata yang beragam. Setiap sudutnya pasti menarik, apalagi untuk dikunjungi bersama teman-teman dan bertualang.",https://travel.detik.com/domestic-destination/d-4705960/5-destinasi-di-indonesia-untuk-para-petualang,https://awsimages.detik.net.id/api/wm/2018/06/23/6416e977-15fd-4b91-a011-ec6b4e5d8344_169.jpeg?wid=54&w=650&v=1&t=jpeg,13 September 2019,Shinta Angriyana,Detik.com,Netral,43.0
